favorite_count,media/0/type,reply_count,retweet_count,view_count
22615,video,1111,2436,
182093,,13151,22329,32007649
133159,photo,6435,10818,26606112
74718,photo,4780,8402,18552070
55768,,3986,4800,23219619
169605,,15365,24471,28710861
77959,photo,3056,5790,14910858
316391,photo,7997,25473,35163608
270974,photo,8981,9438,45465217
349888,photo,6674,45303,33108044
39390,,2045,2646,4713188
100641,,8812,14199,22735180
93779,,4859,7871,10118136
151367,,6240,17565,29655705
193748,photo,10469,12879,29143074
124457,photo,9664,12309,19614481
163612,,7862,19224,18866895
379202,,24146,61715,36866582
118005,,9420,12019,18765307
60382,photo,2658,4477,
25800,,2788,1348,5182253
165664,,17075,19413,34981725
145095,,15638,9663,31370163
112803,,16217,8021,27422852
35065,,3380,2522,14592729
72132,,8179,11963,20268162
73645,,5589,8455,22875748
431963,photo,14223,36591,34609037
150956,,6889,19491,22740584
101503,photo,7027,9841,18669984
32604,photo,1017,3806,
19576,video,754,2128,
171719,,13769,35375,36747539
117759,,15264,14862,29800855
80681,,8071,10380,58344283
19427,,1517,2068,
106593,,7897,8317,26911878
19089,,1125,3042,
91584,,8953,8751,24731279
74970,,9794,7544,18838326
25313,video,1258,3127,
21125,video,877,2406,
248264,photo,9657,15269,28691501
439335,photo,28090,52328,52956808
377620,,27418,90189,69976569
326641,,22085,87170,50991462
77286,photo,11231,6771,28109061
116128,photo,6363,7724,18033365
32725,photo,976,3464,
141658,,9951,32345,34696934
92975,photo,5137,4532,19862431
368691,photo,16455,28039,42038518
360659,photo,22663,26315,50571981
44643,photo,4557,6021,
18560,video,1303,2148,
29663,,3816,3326,17898689
52788,photo,3203,13041,
69911,photo,3075,21385,
0,,0,73959,189
195455,photo,9443,13783,31931452
132770,photo,9398,16509,29584693
49307,,5874,5163,20122167
61748,,5468,6972,22630738
69015,,4520,3973,7418352
137033,photo,14037,15593,35832210
492304,photo,26688,43907,70512803
24192,,4131,3254,18736984
134285,photo,10383,23007,34482374
68673,,6799,5840,23351627
89147,photo,6830,7941,32024915
34248,,2861,5698,31592726
151971,photo,25120,11103,41566669
53450,,5477,4106,22756392
20822,,1700,1974,5342926
29429,photo,1032,3944,
40624,,2864,3792,33021720
273177,,33831,24140,50375763
142678,,13046,13936,31462198
38938,video,1804,5811,
15464,,756,2821,
40853,video,1273,4536,
14704,,524,2802,
139873,,17585,26778,38047940
17030,,760,3722,
50269,video,2252,4731,
36236,,2379,2334,5876943
122291,photo,6848,10434,34472400
27148,photo,1218,3784,
28769,,2339,2988,32556637
38384,,3344,2966,34749004
94408,,10384,6751,26700138
78719,,8424,6822,34390172
0,,0,2970,29
287030,photo,10392,20831,49669357
