favorite_count,media/0/type,reply_count,retweet_count,view_count
79835,,383,5283,6696998
82001,photo,176,2899,1792039
50160,video,201,4092,4625047
29654,photo,100,1974,1093603
86538,photo,244,4859,4262019
129617,video,2004,8435,14182444
23373,,47,196,1517688
245627,,326,15120,21773841
58224,,227,2220,7141247
31765,photo,50,2433,1062196
156926,,268,12350,6626044
56990,,97,2923,3371703
2523,,44,11,268105
3219,photo,17,18,485026
35509,,181,1087,3966216
44638,photo,252,1909,1466757
52661,,159,3663,3973166
124842,,267,12846,9558346
86190,,186,5570,4467805
36725,photo,824,853,3318179
126009,photo,217,6058,5623153
114606,,436,6949,6002634
10282,photo,20,180,366866
126851,,602,20409,10588710
108802,,379,4856,5419059
3130,photo,12,36,269709
25663,,134,1213,1635096
41285,,260,1956,2142922
41130,,333,2309,6741600
8197,,30,112,284399
86054,photo,205,2677,4256035
17266,photo,28,425,464181
29889,,98,971,2508096
35598,,95,771,2378675
2687,video,14,43,331525
62823,,125,3590,4517125
379494,photo,1654,16366,29567159
101191,,1032,10094,
38806,,174,1280,2608959
25297,,127,1148,2192033
29838,photo,451,483,2147498
22027,animated_gif,83,246,4127170
2958,photo,4,34,208955
10415,,95,123,795679
49849,,412,2467,4769829
45435,photo,567,1433,2446082
37415,,93,4133,2354745
29419,,97,1478,2193376
27990,photo,241,589,1566657
15871,,89,733,1085754
47002,,105,2007,2245511
45531,,313,1729,3569411
24747,,154,1786,1728469
5853,,213,382,542206
4298,,15,33,194806
29414,,429,1784,2364947
9044,,131,165,605871
83003,,220,6840,3384715
8292,,12,73,250074
155880,,437,8223,6685030
33203,photo,110,2108,2265108
25609,video,93,684,2635977
30652,,185,1335,1640319
33628,,126,1151,1764484
56486,,163,3516,2901787
27329,,112,836,2587899
110129,,186,5781,4881190
79534,photo,127,2613,3142646
104997,,256,4491,6237486
17423,video,261,1659,1065002
5537,,101,31,758515
5566,,17,180,217997
59725,,410,3383,3606987
125971,,322,9610,6865541
75100,photo,356,2021,3917675
264520,,917,27422,12325441
103825,,472,3546,7102598
157965,,227,6837,7206965
