favorite_count,media/0/type,reply_count,retweet_count,view_count
2016,photo,9,9,
607,photo,4,25,
353,,4,3,
1397,photo,12,31,
1396,,8,30,
365,,2,4,
1326,,30,35,
497,,3,0,
2337,,13,63,
15,,0,0,
575,,1,9,
10642,,20,1043,
577,video,10,27,6830
262,animated_gif,0,11,
1077,,8,25,
1172,,4,20,
139,,0,1,
662,,7,22,
71,animated_gif,0,0,
640,,19,28,
356,,1,1,
1090,,12,13,
523,,11,9,
289,,1,6,
499,,5,5,
340,,3,25,
112,,26,1,
1608,video,21,19,15014
138960,,1229,14386,
847,,11,3,
99,animated_gif,1,0,
1067,,3,29,
4248,,100,651,
521,photo,3,5,
2608,photo,18,41,
7382,video,103,1527,
2161,photo,29,46,
1628,,9,57,
386,,9,22,
2911,photo,11,40,
56,animated_gif,0,0,
1106,,24,53,
990,photo,25,11,
199,,0,0,
2944,,10,320,
348,,1,68,
878,photo,21,16,
258,animated_gif,9,3,
89,,0,1,
268,animated_gif,7,3,
2140,photo,35,35,
193,,1,0,
1349,,24,41,
2318,,48,59,
238,photo,20,35,
183,,0,1,
1145,,10,9,
366,animated_gif,13,43,
310,,3,0,
981,photo,5,4,
548,photo,14,3,
35599,photo,55,4700,
150,,0,1,
445,photo,5,11,
652,,1,6,
2409,,8,99,
353,,4,8,
1141,,17,45,
157539,,296,8009,
2661,,4,59,
39419,,58,1297,
1851,,8,88,
720,photo,14,8,
132,animated_gif,0,0,
870,,13,16,
292,,1,1,
577,,5,13,
1107,photo,14,5,
521,,200,3,
33153,photo,187,5674,
869,,40,80,
142,,1,0,
356,,9,2,
371,,19,14,
218,photo,14,5,
135,,3,0,
505,,72,19,
795,,15,29,
1565,photo,25,25,
595,video,9,5,7166
718,photo,22,92,
578,,2,17,
426367,video,3755,64208,
1667,,4,111,
747,,11,9,
14095,,18,145,
797,,11,19,
7649,,47,468,
170,animated_gif,3,3,
4850,,14,101,
184688,photo,398,10592,
1439,,4,23,
1431,photo,18,18,
684,,32,49,
261,,9,7,
729,,1,6,
11654,,26,612,
440,,1,3,
720,photo,5,21,
79,,0,0,
473,photo,12,7,
73,,1,0,
167,,3,0,
495,,4,7,
647,photo,4,21,
357,,1,6,
274,,9,1,
506,photo,4,27,
203171,,358,17158,
349,,5,0,
1127,photo,16,19,
248,,5,6,
1119,,26,65,
151,animated_gif,2,5,
556,,7,6,
191,,5,2,
671,animated_gif,6,67,
248,,4,3,
280,animated_gif,1,2,
1671,,4,38,
379,,18,9,
238,photo,11,44,
397,photo,12,2,
99,,1,1,
446,,16,8,
232,,1,0,
943,,6,56,
782,photo,4,24,
85,,3,0,
719,photo,9,5,
1107,,7,41,
2447,,6,158,
3006,video,9,476,
360,animated_gif,3,11,
945,,19,50,
199,,0,3,
1064,,4,30,
316,,2,1,
304,,0,0,
1003,,13,3,
46930,,436,2783,
1073,photo,9,42,
1078,,2,2,
1083,photo,19,6,
287,video,6,10,5393
15520,animated_gif,6,115,
227458,,255,9145,
111,photo,3,6,
272,,1,0,
2887,,11,71,
104921,photo,1900,15924,
7659,,17,761,
591,photo,5,5,
1598,photo,19,23,
84,,1,0,
122,photo,0,0,
857,,10,33,
430,photo,0,4,
7263,,21,293,
601,,5,24,
71,,1,1,
221,photo,2,0,
19791,photo,60,1100,
